,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1990,-6.730158730158728,0.5833333333333317,,10.222222222222221,9.888888888888888,,,,,6.749999999999999,-0.34325396825396676,-5.2407407407407405
1,1991,-5.398148148148149,-0.11111111111111072,,,,14.47817460317461,,,,,,
2,1992,,,,,,15.928571428571423,,,,,,
3,1993,,,,,,,,14.984126984126986,,,,
4,1994,,,,6.632936507936505,,,,16.075396825396826,,,,
5,1995,,,1.009920634920635,4.561507936507934,9.753968253968253,,,,,,,
6,1996,,,,,,,,,,6.148809523809524,,-5.347222222222224
7,1997,,,,,,,,18.488095238095237,,,,
8,1998,,,,,,,,,,,-6.172619047619048,-5.273809523809522
9,1999,,,,7.218253968253967,,19.72222222222223,,,,,-1.083333333333331,
10,2000,,,,,,,,,,,,
11,2001,,-7.490079365079366,,,,,,,12.337301587301582,6.938492063492067,,
12,2002,,,,,,,,17.952380952380953,,,,
13,2003,,,,,,,,,,,,
14,2004,,,,4.436507936507938,,14.24007936507937,,,,,,
15,2005,,,,,,,,,,,,
16,2006,,,,,,,,,13.811507936507937,8.48412698412698,,
17,2007,,,,,,,,,10.980158730158733,6.771825396825402,,
18,2008,,,,,,,17.553571428571434,16.188492063492067,10.460317460317464,,,
19,2009,,,,3.9702380952380993,,,17.398809523809522,,,4.561507936507934,,
20,2010,,,,,,,,19.859126984126988,11.904761904761902,,,-8.583333333333332
21,2011,,-11.9265873015873,-2.0972222222222214,,10.563492063492067,,,,,,,
22,2012,-4.8849206349206336,,,,,,,,12.54563492063492,,,-9.168650793650794
23,2013,,-3.0277777777777755,-7.48611111111111,3.960317460317459,,,18.31746031746032,,,,4.406746031746035,
24,2014,,-0.8690476190476184,,5.79563492063492,,,,,,,0.01587301587301779,
25,2015,,,2.027777777777777,3.206349206349203,,,,17.28769841269841,,,2.7956349206349174,
26,2016,,,,5.21626984126984,,,,16.871031746031743,,,-1.9821428571428572,-2.21031746031746
27,2017,,,,2.462301587301587,,,,17.015873015873016,,,1.476190476190477,
28,2018,,,-5.8630952380952355,4.742063492063491,,15.920634920634921,,,,,,
29,2019,,,-0.6170634920634931,6.763888888888895,,18.25992063492063,15.982142857142863,,,,,1.5674603174603163
