,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1990,-3.0555555555555554,,0.9980158730158727,,9.888888888888888,,17.196428571428573,,13.88888888888889,6.749999999999999,-4.444444444444445,-2.1777777777777767
1,1991,-6.952380952380953,-5.0,-2.7222222222222214,3.988095238095239,,14.47817460317461,,,,,,
2,1992,,,1.7261904761904785,,,,,,,,-2.186507936507937,
3,1993,,,,,,,,,,,,
4,1994,-2.7301587301587324,,,6.632936507936505,,,,,,,,
5,1995,-5.033730158730159,,,,,,,,,,,-9.51388888888889
6,1996,,,-4.513888888888891,2.96230158730159,9.976190476190474,14.396825396825395,,,9.361111111111116,6.148809523809524,3.7003968253968247,
7,1997,,-4.178571428571427,,,,16.174603174603174,18.837301587301596,,,,,
8,1998,,,,,10.896825396825392,,,,,,,
9,1999,,,,,,,,15.716269841269844,,,,
10,2000,,,-1.1765873015873,,,,,,,,,
11,2001,-3.275793650793653,-7.490079365079366,,,,,,,,,,
12,2002,,,,,11.827380952380954,,19.851190476190478,,,,-2.17857142857143,
13,2003,,,,,,12.829365079365083,,,,4.537698412698414,,
14,2004,,,,,,,,17.29365079365079,,,,
15,2005,,,,,,,,,,,2.9761904761904745,
16,2006,,,,,,,,,,,,2.9940476190476217
17,2007,-1.9623015873015899,,3.021825396825394,,,,18.049603174603167,19.650793650793656,10.980158730158733,6.771825396825402,,
18,2008,,,,6.001984126984128,,,,,,,2.4325396825396814,
19,2009,,,,3.9702380952380993,,14.436507936507933,,,,,,
20,2010,,,,,,,23.688492063492067,,11.904761904761902,,,
21,2011,,,,5.5218253968253945,,,,,,,,
22,2012,-4.8849206349206336,,,,12.636904761904763,,,,11.82905982905983,5.546594982078857,2.092592592592592,-9.016129032258062
23,2013,-7.435483870967741,-3.8045267489711954,-8.048387096774194,3.840740740740737,13.182795698924734,17.868518518518506,17.338709677419356,16.953405017921146,10.885185185185193,6.340501792114692,3.3629629629629636,-0.05376344086021747
24,2014,-8.014336917562725,-0.8690476190476184,1.5860215053763425,5.518518518518516,11.933691756272399,13.714814814814812,19.910394265232977,17.347670250896062,12.053703703703707,4.116487455197134,-0.472222222222223,-1.8924731182795698
25,2015,-3.525089605734768,-1.6408730158730163,1.4157706093189957,3.78395061728395,11.041218637992836,15.32407407407407,15.707885304659493,16.405017921146953,12.325925925925922,4.379928315412189,2.151851851851857,1.1666666666666634
26,2016,-12.729390681003585,-0.6302681992337137,0.048387096774192964,5.503703703703703,13.403225806451609,15.777777777777777,18.125448028673826,16.406810035842298,12.055555555555557,4.172043010752687,-2.5851851851851846,-1.7741935483870976
27,2017,-4.960573476702505,-4.2817460317460325,0.6630824372759866,2.4685185185185117,8.184587813620068,12.912962962962967,15.666666666666668,16.553763440860216,11.666666666666663,4.844086021505376,1.3611111111111127,-0.4982078853046603
28,2018,-3.7168458781362013,-8.446428571428571,-5.560931899641574,4.944444444444444,13.293906810035839,15.18888888888889,19.27956989247311,17.790322580645157,13.251984126984123,6.379928315412187,1.9861111111111087,-4.218637992831542
29,2019,-7.016129032258064,-0.8928571428571431,-0.34587813620071806,5.614814814814812,11.032258064516126,17.711111111111112,15.52150537634409,15.688172043010763,10.798148148148144,5.3118279569892435,1.0277777777777786,0.9982078853046595
