,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1990,-5.43906810035842,1.6567460317460339,1.4910394265232993,8.035185185185192,9.720430107526884,14.39814814814815,16.962365591397848,16.58243727598566,8.944444444444445,5.8100358422939085,-0.5481481481481469,-1.7508960573476686
1,1991,-4.453405017921151,-6.458333333333333,-1.4283154121863777,4.157407407407407,9.541218637992834,14.768518518518523,17.75089605734767,16.774193548387096,10.64814814814815,6.387096774193546,2.9518518518518553,-1.758064516129032
2,1992,-2.9103942652329726,-2.931034482758622,1.505376344086026,2.974074074074073,11.193548387096778,16.040740740740734,17.532258064516125,16.327956989247312,13.235185185185188,0.9103942652329758,-3.151851851851853,-0.5878136200716888
3,1993,-2.8154121863799237,-3.226190476190476,-1.5017921146953404,3.864814814814817,13.528673835125444,12.481481481481486,16.534050179211466,14.413978494623656,6.731481481481485,3.885304659498215,-6.607407407407406,-3.586021505376345
4,1994,-3.788530465949825,-12.787698412698411,-2.1917562724014377,6.829629629629627,8.906810035842296,13.812962962962956,19.24551971326164,15.75089605734767,12.157407407407407,4.6164874551971335,-1.3314814814814844,-3.526881720430111
5,1995,-5.0681003584229405,-0.7043650793650791,0.6881720430107544,4.4185185185185185,10.930107526881724,18.60185185185186,16.00716845878136,16.528673835125446,11.57407407407408,7.915770609318997,-2.37222222222222,-9.435483870967742
6,1996,-7.9713261648745535,-11.281609195402298,-4.148745519713266,3.216666666666666,10.066308243727597,14.494444444444442,15.835125448028675,17.5752688172043,9.035185185185187,5.98387096774194,3.559259259259259,-5.901433691756275
7,1997,-5.883512544802867,-4.178571428571427,-1.5017921146953443,2.309259259259259,8.862007168458781,16.301851851851854,18.802867383512552,18.501792114695338,9.940740740740743,3.4265232974910416,-1.0777777777777784,-6.231182795698924
8,1998,-2.132616487455196,-7.668650793650794,-4.978494623655916,3.401851851851849,10.944444444444441,16.142592592592592,17.61469534050179,14.121863799283158,11.174074074074072,5.76344086021505,-6.307407407407409,-4.854838709677419
9,1999,-7.296296296296296,-8.930555555555555,-1.043010752688171,7.201851851851854,7.514336917562723,19.874074074074077,19.956989247311828,15.612903225806454,12.444444444444443,6.700716845878133,-0.7703703703703684,-1.7616487455197116
10,2000,-4.879928315412187,-3.019157088122603,-0.7616487455197113,7.662962962962957,10.317204301075265,15.051851851851852,17.765232974910393,15.77240143369176,9.848148148148148,7.64336917562724,2.000000000000005,-1.0842293906810063
11,2001,-3.16666666666667,-7.490079365079366,-4.238351254480291,7.848148148148147,9.933691756272403,14.82037037037038,21.13261648745519,16.118279569892465,11.798148148148142,6.818996415770613,-1.735185185185186,-9.795698924731182
