,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1990,-9.444444444444445,1.722222222222223,,6.8888888888888875,,,,16.34325396825397,8.644841269841272,,-0.9980158730158727,-2.7916666666666656
1,1991,0.8333333333333333,-0.11111111111111072,-3.2222222222222223,,,,,,,,,
2,1992,-3.067460317460316,,,,,,,16.00992063492063,,,,
3,1993,,,-1.8730158730158721,,,,,,,,,
4,1994,,,-2.5714285714285743,,,,,,,,,
5,1995,,-0.7043650793650791,,4.561507936507934,,,,16.307539682539687,,8.448412698412698,,
6,1996,,-11.503968253968253,-4.513888888888891,,,,,,,,,-5.347222222222224
7,1997,,,,,,16.174603174603174,,,,,,
8,1998,,-7.668650793650794,,,,16.148809523809522,,,,,,
9,1999,,,,7.218253968253967,,,,,,,,
10,2000,-5.091269841269844,,,,,,,,,,,
11,2001,,-7.490079365079366,,,,,,,,,,
12,2002,,,,,,,,,,,,
13,2003,,,,1.999999999999997,11.861111111111112,12.829365079365083,20.440476190476183,16.464285714285715,,,,-1.373015873015873
14,2004,,-5.837301587301589,,,10.65079365079365,,,,,,,
15,2005,,,,,,15.099206349206346,,,,,,
16,2006,,-11.56547619047619,,,11.392857142857144,16.70436507936508,,,,,,
17,2007,,,,5.236111111111113,,,,,,,-1.025793650793651,
18,2008,,,,,10.144841269841274,,,16.188492063492067,,,,
19,2009,,,,3.9702380952380993,,,17.398809523809522,,,,,
20,2010,-14.035714285714285,,,5.789682539682543,,,,,,4.5753968253968225,,
21,2011,,,-2.0972222222222214,,,,,,,,,1.3888888888888888
22,2012,,-12.047619047619047,,,,,,,,,3.285714285714284,
23,2013,,,-7.48611111111111,3.960317460317459,,,,,11.873015873015879,,4.406746031746035,
24,2014,-6.529761904761905,,1.650793650793649,5.79563492063492,11.849206349206346,,19.561507936507937,,,4.119047619047621,,-0.9424603174603123
25,2015,,-1.6408730158730163,1.3313492063492067,,,15.261904761904768,,,,,,
26,2016,-13.753968253968253,,,,,15.944444444444446,,,,,,
27,2017,,-3.761904761904764,,,,,,17.015873015873016,,,,
28,2018,,-8.378968253968253,,4.742063492063491,14.470238095238095,,,,,7.47023809523809,3.0732323232323226,
29,2019,,,,,,18.25992063492063,16.759920634920636,,,,,
