,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1990,-5.976702508960574,1.2976190476190494,1.2580645161290327,6.924074074074072,9.37992831541219,13.781481481481476,16.52150537634408,15.974910394265233,8.466666666666667,5.439068100358426,-0.9980158730158727,
1,1991,-5.398148148148149,-5.222222222222221,-2.7222222222222214,,,,,,,,2.8730158730158726,
2,1992,,,,,,15.928571428571423,,,,,,
3,1993,,,,,,12.446428571428573,16.464285714285715,,,4.2420634920634965,,
4,1994,-2.7301587301587324,,,,,,,,,4.5833333333333375,,
5,1995,,,,,,,,,11.867063492063501,,,
6,1996,,,,,,14.396825396825395,,,,,,
7,1997,,,,,,,,,,,,
8,1998,,,,,,,,14.345238095238098,,,,
9,1999,,,,,7.035714285714284,,,,,,,
10,2000,,,,,,,,15.65277777777778,,,,-0.5932539682539704
11,2001,,,,,,,,16.547619047619044,,,,
12,2002,,,,,,16.25992063492064,,,,,,-10.043650793650794
13,2003,,,-2.38293650793651,,,,,,,,,
14,2004,,,,,,,17.7202380952381,,12.96230158730159,,,
15,2005,,,-7.156746031746033,4.6051587301587285,,,,,,,,
16,2006,,,,,,,,,,,,
17,2007,,,,,,,18.049603174603167,19.650793650793656,10.980158730158733,,-1.025793650793651,0.3392857142857153
18,2008,,,,6.001984126984128,,,,,10.460317460317464,,,
19,2009,,,,,,,,,,,,
20,2010,,-9.109126984126984,,,,,,,11.904761904761902,,,
21,2011,,,,,,,,,,,3.3948412698412667,
22,2012,,,,4.61111111111111,,,,,11.969907407407412,,3.285714285714284,
23,2013,,-3.8045267489711954,,,,,,,,,,0.2956349206349213
24,2014,,,,,,,,,12.650793650793656,3.916666666666665,,-0.9424603174603123
25,2015,,,2.027777777777777,,,,,,,5.204365079365082,,
26,2016,,-0.21031746031745907,,5.21626984126984,,,,16.871031746031743,12.069444444444445,,-2.281746031746032,
27,2017,,,,,,,15.906746031746028,,,,,
28,2018,-3.4920634920634894,-8.446428571428571,,,,15.920634920634921,,,,7.47023809523809,,
29,2019,-7.359126984126985,-0.8928571428571431,-0.6170634920634931,,11.638888888888886,17.79761904761905,,,11.525793650793648,,1.293650793650794,
