,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1990,-6.802867383512545,0.3234126984126975,-0.30107526881720087,6.1092592592592645,9.591397849462359,14.057407407407407,16.637992831541222,16.566308243727597,8.457407407407409,4.82795698924731,-1.8611111111111118,-1.9569892473118284
1,1991,-5.525089605734769,-7.813492063492062,-2.544802867383511,2.679629629629632,8.50358422939068,13.770370370370376,17.835125448028677,16.80824372759857,9.924074074074072,6.087813620071686,3.088888888888886,-2.0949820788530498
2,1992,-3.7849462365591413,-3.7564102564102577,0.6666666666666682,1.8440170940170948,9.958781362007171,16.287037037037027,17.116487455197134,15.494623655913982,13.08148148148148,0.3548387096774203,-3.192592592592596,-0.6684587813620111
3,1993,-2.8207885304659484,-3.6468253968253963,-1.7616487455197176,2.3555555555555565,12.831541218637994,12.133333333333335,16.215053763440864,14.141577060931898,6.4481481481481495,3.2992831541218632,-5.42962962962963,-4.234767025089607
4,1994,-4.942652329749101,-14.91468253968254,-3.598566308243727,4.190740740740742,8.763440860215054,13.949999999999996,19.586021505376358,16.245519713261647,11.527777777777773,5.5982905982906,-1.2796296296296303,-2.6111111111111085
5,1995,-4.713261648745524,-1.642857142857142,-0.19892473118279833,2.516666666666667,9.655913978494617,18.535185185185174,16.089605734767023,16.356630824372765,11.174074074074076,7.874551971326167,-2.8629629629629623,-9.86021505376344
6,1996,-7.353046594982078,-12.166666666666666,-5.310035842293903,1.0666666666666635,8.833333333333332,13.996168582375478,15.465949820788529,18.252688172043012,9.301587301587295,6.1039426523297475,3.2203703703703703,-5.95698924731183
7,1997,-6.75448028673835,-4.809523809523808,-2.0663082437275984,1.0796296296296306,7.804659498207892,16.716666666666665,19.366666666666667,18.159498207885303,10.457407407407405,2.8154121863799295,-0.9500000000000004,-5.38351254480287
8,1998,-2.8405017921146953,-7.722222222222221,-6.810035842293907,1.2481481481481458,9.453405017921147,15.261111111111115,17.394265232974913,14.179629629629625,11.272222222222217,5.81899641577061,-4.144444444444445,-4.136200716845878
9,1999,-7.90925925925926,-9.626984126984127,-2.7580645161290325,4.962962962962961,7.689964157706094,19.52222222222223,19.838709677419352,15.600358422939063,12.000000000000004,6.770609318996423,0.06851851851851541,-2.3154121863799264
