DATE,STATION,TEMP
2010-07-04,1086099999,55.7
2010-07-05,1086099999,51.6
2010-07-06,1086099999,55.8
2010-07-07,1086099999,50.4
2010-07-08,1086099999,55.3
2010-07-09,1086099999,53.2
2010-07-10,1086099999,46.4
2010-07-11,1086099999,50.8
2010-07-12,1086099999,59.6
2010-07-13,1086099999,54.2
2010-07-14,1086099999,47.0
2010-07-15,1086099999,45.0
2010-07-16,1086099999,50.8
2010-07-17,1086099999,54.5
2010-07-18,1086099999,65.8
2010-07-19,1086099999,55.1
2010-07-20,1086099999,54.4
2010-07-21,1086099999,50.8
2010-07-22,1086099999,44.5
2010-07-23,1086099999,41.4
2010-07-24,1086099999,49.0
2010-07-25,1086099999,62.3
2010-07-26,1086099999,59.4
2010-07-27,1086099999,64.7
2010-07-28,1086099999,49.8
2010-07-29,1086099999,53.9
2010-07-30,1086099999,56.0
2010-07-31,1086099999,70.3
2010-08-01,1086099999,53.9
2010-08-02,1086099999,58.8
2010-08-03,1086099999,52.1
2010-08-04,1086099999,52.5
2010-08-05,1086099999,45.4
2010-08-06,1086099999,49.6
2010-08-07,1086099999,66.2
2010-08-08,1086099999,51.4
2010-08-09,1086099999,47.4
2010-08-10,1086099999,53.1
2010-08-11,1086099999,53.1
2010-08-12,1086099999,49.5
2010-08-13,1086099999,56.2
2010-08-14,1086099999,63.4
2010-08-15,1086099999,38.3
2010-08-16,1086099999,41.0
2010-08-17,1086099999,39.5
2010-08-18,1086099999,40.5
2010-08-19,1086099999,41.6
2010-08-20,1086099999,40.7
2010-08-21,1086099999,42.5
2010-08-22,1086099999,39.2
2010-08-23,1086099999,38.6
2010-08-24,1086099999,39.3
2010-08-25,1086099999,39.7
2010-08-26,1086099999,40.5
2010-08-27,1086099999,41.2
2010-08-28,1086099999,39.6
2010-08-29,1086099999,37.4
2010-08-30,1086099999,44.4
2010-08-31,1086099999,49.3
2010-09-01,1086099999,47.9
2010-09-02,1086099999,41.2
2010-09-03,1086099999,42.9
2010-09-04,1086099999,43.0
2010-09-05,1086099999,38.0
2010-09-06,1086099999,43.8
2010-09-07,1086099999,44.2
2010-09-08,1086099999,45.4
2010-09-09,1086099999,45.2
2010-09-10,1086099999,49.5
2010-09-11,1086099999,43.6
2010-09-12,1086099999,51.8
2010-09-13,1086099999,51.2
2010-09-14,1086099999,45.3
2010-09-15,1086099999,42.4
2010-09-16,1086099999,45.0
2010-09-17,1086099999,43.5
2010-09-18,1086099999,42.4
2010-09-19,1086099999,48.2
2010-09-20,1086099999,46.0
2010-09-21,1086099999,46.3
2010-09-22,1086099999,45.6
2010-09-23,1086099999,41.3
2010-09-24,1086099999,40.7
2010-09-25,1086099999,40.0
2010-09-26,1086099999,39.5
2010-09-27,1086099999,39.3
2010-09-28,1086099999,41.0
2010-09-29,1086099999,43.5
2010-09-30,1086099999,42.4
2010-10-01,1086099999,45.4
2010-10-02,1086099999,43.7
2010-10-03,1086099999,39.6
2010-10-04,1086099999,47.6
2010-10-05,1086099999,48.8
2010-10-06,1086099999,48.1
2010-10-07,1086099999,48.6
2010-10-08,1086099999,49.7
2010-10-09,1086099999,44.6
2010-10-10,1086099999,39.5
2010-10-11,1086099999,33.4
2010-10-12,1086099999,37.5
2010-10-13,1086099999,33.2
2010-10-14,1086099999,33.2
2010-10-15,1086099999,31.4
2010-10-16,1086099999,30.2
2010-10-17,1086099999,30.2
2010-10-18,1086099999,35.0
2010-10-19,1086099999,37.0
2010-10-20,1086099999,36.0
2010-10-21,1086099999,36.7
2010-10-22,1086099999,33.8
2010-10-23,1086099999,34.6
2010-10-24,1086099999,32.9
2010-10-25,1086099999,30.1
2010-10-26,1086099999,28.5
2010-10-27,1086099999,24.4
2010-10-28,1086099999,29.0
2010-10-29,1086099999,26.7
2010-10-30,1086099999,23.3
2010-10-31,1086099999,31.4
2010-11-01,1086099999,33.2
2010-11-02,1086099999,34.0
2010-11-03,1086099999,28.4
2010-11-04,1086099999,31.2
2010-11-05,1086099999,27.9
2010-11-06,1086099999,24.8
2010-11-07,1086099999,21.6
2010-11-08,1086099999,16.8
2010-11-09,1086099999,17.2
2010-11-10,1086099999,21.8
2010-11-11,1086099999,29.6
2010-11-12,1086099999,31.4
